代码,名称,一级行业,成份数,日期,收盘价,涨跌幅(%),3日涨跌(%),5日涨跌(%),10日涨跌(%),20日涨跌(%),成交量(亿手),成交额(亿元)
801742.SI,航空装备Ⅱ,国防军工,45,2026-06-23,9100.46,-3.11,-3.71,-2.79,2.65,-13.06,8.1,271.71
801086.SI,电子化学品Ⅱ,电子,34,2026-06-23,15468.71,-3.19,3.17,13.25,31.15,18.56,14.62,744.77
801038.SI,农化制品,基础化工,58,2026-06-23,5167.81,-3.24,-0.07,-3.95,3.76,-6.1,19.81,248.22
801102.SI,通信设备,通信,85,2026-06-23,13323.75,-3.24,2.51,7.15,13.43,18.38,26.16,2567.74
801738.SI,电网设备,电力设备,125,2026-06-23,6304.23,-3.27,-0.14,1.41,3.0,-9.24,30.43,596.71
801077.SI,工程机械,机械设备,28,2026-06-23,22234.57,-3.3,-3.07,-3.69,-5.79,-5.82,7.83,107.59
801744.SI,航海装备Ⅱ,国防军工,10,2026-06-23,3185.62,-3.64,-3.72,-1.84,1.74,-6.27,2.54,69.81
801712.SI,玻璃玻纤,建筑材料,16,2026-06-23,28226.42,-3.68,-1.13,16.04,39.5,26.68,15.07,386.38
801036.SI,塑料,基础化工,73,2026-06-23,6154.16,-3.73,-1.42,3.1,14.98,8.06,16.42,404.66
801737.SI,电池,电力设备,97,2026-06-23,26569.92,-4.08,-1.8,0.9,6.16,-0.98,30.88,1251.07
801043.SI,冶钢原料,钢铁,9,2026-06-23,3382.18,-4.22,-3.15,-8.71,-4.98,-8.87,5.73,41.47
801765.SI,广告营销,传媒,28,2026-06-23,2594.19,-4.54,-0.68,-2.87,-3.68,-10.91,15.65,164.91
801733.SI,其他电源设备Ⅱ,电力设备,30,2026-06-23,48064.57,-5.0,-2.55,3.97,6.59,-2.97,6.82,251.66
801735.SI,光伏设备,电力设备,64,2026-06-23,6571.09,-5.03,-1.98,-0.3,3.09,-12.33,20.51,542.15
801741.SI,航天装备Ⅱ,国防军工,9,2026-06-23,28948.69,-5.69,-6.45,-6.82,-12.71,-17.11,2.63,88.19
801039.SI,非金属材料Ⅱ,基础化工,7,2026-06-23,9450.55,-5.8,4.34,9.25,24.72,19.86,1.44,125.18
801083.SI,元件,电子,58,2026-06-23,28071.44,-6.36,-4.32,3.75,15.69,15.48,25.22,1865.57
801054.SI,小金属,有色金属,26,2026-06-23,47380.82,-6.7,3.96,6.21,24.28,18.35,20.59,1100.8
801056.SI,能源金属,有色金属,13,2026-06-23,21945.28,-7.01,-3.92,-5.02,8.97,-5.67,6.98,317.93
801055.SI,工业金属,有色金属,60,2026-06-23,3228.66,-7.99,-4.69,-7.21,3.68,-7.95,69.92,1048.39
801053.SI,贵金属,有色金属,11,2026-06-23,21394.03,-9.73,-10.26,-10.28,-1.46,-15.74,8.03,165.47
